Age,COVID19
0.08,77
0.17,400
0.25,90
0.33,408
0.42,101
0.5,322
0.58,117
0.6,1
0.67,57
0.75,143
0.83,103
0.92,64
1.0,729
1.08,162
1.17,110
1.25,285
1.33,126
1.42,63
1.5,189
1.58,76
1.67,67
1.75,67
1.83,55
1.92,53
10.0,1635
100.0,48
101.0,37
102.0,11
103.0,11
104.0,2
105.0,4
106.0,1
107.0,3
11.0,2520
110.0,1
115.0,1
117.0,1
12.0,2320
13.0,1498
14.0,1495
15.0,1572
16.0,1994
17.0,2207
18.0,1478
19.0,1267
2.0,870
2.08,2
2.25,3
2.33,1
2.42,2
2.5,1
2.58,2
2.67,3
2.75,2
2.83,4
2.92,2
20.0,1274
21.0,1291
22.0,1246
23.0,1395
24.0,1390
25.0,1512
26.0,1609
27.0,1676
28.0,1705
29.0,1923
3.0,852
30.0,1946
31.0,2024
32.0,2139
33.0,2154
34.0,2172
35.0,2148
36.0,2340
37.0,2393
38.0,2285
39.0,2321
4.0,1553
40.0,2306
41.0,2398
42.0,2284
43.0,2243
44.0,2412
45.0,2361
46.0,2340
47.0,2359
48.0,2424
49.0,2525
5.0,2258
5.58,2
5.83,2
50.0,3088
51.0,3071
52.0,3003
53.0,2993
54.0,2912
55.0,3077
56.0,3325
57.0,3403
58.0,3417
59.0,3580
6.0,1297
60.0,3743
61.0,3716
62.0,3838
63.0,3888
64.0,4017
65.0,4193
66.0,4238
67.0,4127
68.0,4027
69.0,3907
7.0,1422
70.0,3839
71.0,3640
72.0,3465
73.0,3530
74.0,3381
75.0,3130
76.0,2667
77.0,2461
78.0,2297
79.0,2168
8.0,1380
80.0,1922
81.0,1664
82.0,1536
83.0,1497
84.0,1216
85.0,1146
86.0,1081
87.0,948
88.0,827
89.0,771
9.0,1508
90.0,694
91.0,523
92.0,496
93.0,403
94.0,322
95.0,241
96.0,178
97.0,141
98.0,91
99.0,68
